longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product
-85.37546,42.409132,0.85,2012/10/25,16:51:48+00,82,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.37548,42.409143,0.65,2012/10/25,16:51:47+00,84,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375508,42.409143,1.55,2012/10/25,16:51:46+00,84,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375535,42.409138,1.15,2012/10/25,16:51:45+00,84,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375555,42.409124,1.25,2012/10/25,16:51:44+00,82,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375566,42.409104,1.25,2012/10/25,16:51:43+00,80,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375566,42.409088,1.75,2012/10/25,16:51:42+00,81,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375563,42.409071,1.55,2012/10/25,16:51:41+00,75,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375555,42.409054,1.55,2012/10/25,16:51:40+00,75,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.409035,1.45,2012/10/25,16:51:39+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.409018,2.25,2012/10/25,16:51:38+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408999,2.45,2012/10/25,16:51:37+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408982,2.55,2012/10/25,16:51:36+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408963,2.75,2012/10/25,16:51:35+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408946,3.05,2012/10/25,16:51:34+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408929,3.35,2012/10/25,16:51:33+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408913,3.05,2012/10/25,16:51:32+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408893,2.85,2012/10/25,16:51:31+00,76,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408877,2.65,2012/10/25,16:51:30+00,77,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408857,2.35,2012/10/25,16:51:29+00,76,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.40884,2.75,2012/10/25,16:51:28+00,76,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408824,3.05,2012/10/25,16:51:27+00,77,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408804,3.15,2012/10/25,16:51:26+00,76,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408788,2.85,2012/10/25,16:51:25+00,77,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408768,2.75,2012/10/25,16:51:24+00,75,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375552,42.408752,2.45,2012/10/25,16:51:23+00,76,180,14.96,1,8,5648,F1: T4R6-East,L1: ,Soybeans
