longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,,
-85.368498,42.413241,1.2,2009/10/19,19:00:24+00,77,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368509,42.413258,1.2,2009/10/19,19:00:23+00,77,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368517,42.413278,1.1,2009/10/19,19:00:22+00,77,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368523,42.413294,1.1,2009/10/19,19:00:21+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368526,42.413311,1.6,2009/10/19,19:00:20+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368526,42.41333,2.1,2009/10/19,19:00:19+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413347,1.8,2009/10/19,19:00:18+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413366,2.5,2009/10/19,19:00:17+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413386,2.4,2009/10/19,19:00:16+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413403,2.4,2009/10/19,19:00:15+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413422,2.5,2009/10/19,19:00:14+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413439,2.6,2009/10/19,19:00:13+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368529,42.413458,2.8,2009/10/19,19:00:12+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368531,42.413475,2.9,2009/10/19,19:00:11+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368531,42.413491,2.6,2009/10/19,19:00:10+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368531,42.413511,2.7,2009/10/19,19:00:09+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368531,42.413528,3,2009/10/19,19:00:08+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413547,2.9,2009/10/19,19:00:07+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413564,2.5,2009/10/19,19:00:06+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413583,2.8,2009/10/19,19:00:05+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.4136,2.8,2009/10/19,19:00:04+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413619,2.9,2009/10/19,19:00:03+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413636,2.5,2009/10/19,19:00:02+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413655,2.5,2009/10/19,19:00:01+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368534,42.413672,2.7,2009/10/19,19:00:00+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368537,42.413691,2.5,2009/10/19,18:59:59+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368537,42.413708,2.6,2009/10/19,18:59:58+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368537,42.413728,2.6,2009/10/19,18:59:57+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368537,42.413744,2.5,2009/10/19,18:59:56+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368537,42.413764,2.1,2009/10/19,18:59:55+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.41378,2.2,2009/10/19,18:59:54+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.4138,2,2009/10/19,18:59:53+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.413819,2.2,2009/10/19,18:59:52+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.413836,2.1,2009/10/19,18:59:51+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.413855,2.2,2009/10/19,18:59:50+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.413872,2.2,2009/10/19,18:59:49+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.413889,2.1,2009/10/19,18:59:48+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36854,42.413908,2.3,2009/10/19,18:59:47+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.413928,2.7,2009/10/19,18:59:46+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.413944,2.8,2009/10/19,18:59:45+00,77,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.413964,2.9,2009/10/19,18:59:44+00,79,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.41398,2.9,2009/10/19,18:59:43+00,75,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414,2.9,2009/10/19,18:59:42+00,76,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414016,3.2,2009/10/19,18:59:41+00,76,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414036,2.5,2009/10/19,18:59:40+00,76,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414053,2.1,2009/10/19,18:59:39+00,76,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414072,2.1,2009/10/19,18:59:38+00,76,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414089,2.1,2009/10/19,18:59:37+00,74,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414105,1.8,2009/10/19,18:59:36+00,74,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414125,0,2009/10/19,18:59:35+00,69,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414139,0,2009/10/19,18:59:34+00,68,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414155,0,2009/10/19,18:59:33+00,69,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414172,0,2009/10/19,18:59:32+00,68,180,13.63,1,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368542,42.414189,0,2009/10/19,18:59:31+00,70,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368537,42.414203,0,2009/10/19,18:59:30+00,80,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368526,42.414219,1,2009/10/19,18:59:29+00,88,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368504,42.414233,1,2009/10/19,18:59:28+00,87,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368481,42.414239,0.8,2009/10/19,18:59:27+00,93,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368451,42.414239,0,2009/10/19,18:59:26+00,93,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36842,42.414239,0,2009/10/19,18:59:25+00,94,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368392,42.414239,0,2009/10/19,18:59:24+00,94,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368362,42.414233,1.2,2009/10/19,18:59:23+00,94,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368331,42.414228,1.3,2009/10/19,18:59:22+00,94,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368306,42.414219,1.1,2009/10/19,18:59:21+00,95,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368279,42.414211,0.9,2009/10/19,18:59:20+00,95,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368254,42.414197,1.5,2009/10/19,18:59:19+00,92,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368237,42.414178,1.6,2009/10/19,18:59:18+00,90,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368223,42.414161,2.1,2009/10/19,18:59:17+00,83,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368215,42.414141,2.4,2009/10/19,18:59:16+00,80,180,13.63,0,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368212,42.414122,3,2009/10/19,18:59:15+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368212,42.414103,3.6,2009/10/19,18:59:14+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368209,42.414083,3.4,2009/10/19,18:59:13+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368209,42.414064,2.9,2009/10/19,18:59:12+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368209,42.414047,3,2009/10/19,18:59:11+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368209,42.414028,2.5,2009/10/19,18:59:10+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368206,42.414008,2.5,2009/10/19,18:59:09+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368206,42.413989,2.9,2009/10/19,18:59:08+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368206,42.413972,2.9,2009/10/19,18:59:07+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368206,42.413953,3.2,2009/10/19,18:59:06+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413933,2.6,2009/10/19,18:59:05+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413916,2.9,2009/10/19,18:59:04+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413897,3,2009/10/19,18:59:03+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413878,3.1,2009/10/19,18:59:02+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413858,2.5,2009/10/19,18:59:01+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413841,2.7,2009/10/19,18:59:00+00,80,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413822,3,2009/10/19,18:58:59+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413803,3.3,2009/10/19,18:58:58+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368204,42.413783,3,2009/10/19,18:58:57+00,81,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368201,42.413766,3,2009/10/19,18:58:56+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368201,42.413747,2.7,2009/10/19,18:58:55+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368201,42.413728,2.5,2009/10/19,18:58:54+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368201,42.413708,2.8,2009/10/19,18:58:53+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368198,42.413691,2.8,2009/10/19,18:58:52+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368198,42.413672,2.7,2009/10/19,18:58:51+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368198,42.413653,2.3,2009/10/19,18:58:50+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368198,42.413636,2.2,2009/10/19,18:58:49+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368195,42.413616,2.5,2009/10/19,18:58:48+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368195,42.413597,2.6,2009/10/19,18:58:47+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368195,42.41358,2.6,2009/10/19,18:58:46+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368192,42.413561,2.7,2009/10/19,18:58:45+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368192,42.413544,2.9,2009/10/19,18:58:44+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368192,42.413525,2.8,2009/10/19,18:58:43+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368192,42.413505,3,2009/10/19,18:58:42+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36819,42.413489,3.2,2009/10/19,18:58:41+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36819,42.413469,3.2,2009/10/19,18:58:40+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368187,42.41345,2.9,2009/10/19,18:58:39+00,78,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368187,42.413433,3.4,2009/10/19,18:58:38+00,79,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368187,42.413414,3.4,2009/10/19,18:58:37+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368187,42.413397,3.4,2009/10/19,18:58:36+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413378,3.2,2009/10/19,18:58:35+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413358,3.6,2009/10/19,18:58:34+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413341,3.4,2009/10/19,18:58:33+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413322,2.9,2009/10/19,18:58:32+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413305,0,2009/10/19,18:58:31+00,77,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413286,0,2009/10/19,18:58:30+00,69,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413269,0,2009/10/19,18:58:29+00,65,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413255,0,2009/10/19,18:58:28+00,64,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413241,0,2009/10/19,18:58:27+00,68,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368184,42.413225,0,2009/10/19,18:58:26+00,70,180,13.63,1,8,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368187,42.413208,0,2009/10/19,18:58:25+00,73,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368192,42.413191,1.2,2009/10/19,18:58:24+00,80,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368212,42.413178,1.2,2009/10/19,18:58:23+00,80,180,13.63,0,7,5648,F1: T4R5-East,L1: ,Soybeans,,
